date,symbol,side,entry,exit,qty,pnl,reason
2023-05-26,AMD,long,120.3499984741211,127.02999877929688,115,768.2000350952148,signal
2023-05-31,AMD,long,125.2699966430664,118.20999908447266,107,-755.4197387695312,signal
2023-05-31,NFLX,long,37.88800048828125,39.52299880981445,452,739.0192413330078,signal
2023-06-01,NVDA,long,30.510990142822266,39.73482894897461,623,5746.45157623291,signal
2023-06-01,SMCI,long,20.68600082397461,23.101999282836914,540,1304.6391677856445,signal
2023-06-02,META,long,270.48736572265625,270.48736572265625,91,0.0,signal
2023-06-08,META,long,261.54754638671875,262.5198974609375,86,83.6221923828125,signal
2023-06-08,NFLX,long,39.97700119018555,40.9370002746582,391,375.3596420288086,signal
2023-06-09,SMCI,long,23.97800064086914,26.166000366210938,346,757.0479049682617,signal
2023-06-12,NFLX,long,42.00199890136719,42.39699935913086,420,165.9001922607422,signal
2023-06-14,SMCI,long,24.423999786376953,24.777000427246094,288,101.6641845703125,signal
2023-06-15,NVDA,long,42.96341323852539,42.619686126708984,268,-92.11886596679688,signal
2023-06-15,AMD,long,124.52999877929688,124.23999786376953,92,-26.680084228515625,signal
2023-06-16,CRWD,long,159.80999755859375,155.13999938964844,90,-420.2998352050781,signal
2023-06-20,META,long,279.63555908203125,282.1161193847656,77,191.00314331054688,signal
2023-06-26,META,long,286.48187255859375,276.3017272949219,75,-763.5108947753906,signal
2023-06-29,NFLX,long,42.98400115966797,42.82400131225586,482,-77.11992645263672,signal
2023-07-07,META,long,292.07794189453125,288.267822265625,70,-266.7083740234375,signal
2023-07-11,META,long,291.81005859375,295.9674072265625,71,295.1717529296875,signal
2023-07-13,META,long,306.9313659667969,310.9696960449219,68,274.6064453125,signal
2023-07-17,NVDA,long,45.43349075317383,46.424713134765625,401,397.48017501831055,signal
2023-07-17,NFLX,long,44.191001892089844,45.005001068115234,492,400.4875946044922,signal
2023-07-17,SMCI,long,29.538000106811523,30.204999923706055,364,242.78793334960938,signal
2023-07-19,NVDA,long,47.45690155029297,47.040225982666016,420,-175.0037384033203,signal
2023-07-20,NFLX,long,47.47999954223633,43.742000579833984,447,-1670.8855361938477,trail
2023-07-21,TSLA,long,262.8999938964844,260.0199890136719,53,-152.6402587890625,signal
2023-07-21,NFLX,long,43.742000579833984,42.75,382,-378.94422149658203,signal
2023-07-24,NVDA,long,45.48444747924805,44.5771484375,399,-362.0123176574707,signal
2023-07-24,META,long,291.96881103515625,289.3393859863281,66,-173.54205322265625,signal
2023-07-24,CRWD,long,157.61000061035156,149.74000549316406,116,-912.91943359375,signal
2023-07-24,SMCI,long,30.367000579833984,30.937000274658203,334,190.37989807128906,signal
2023-07-31,META,long,296.2452087402344,316.1192626953125,64,1271.939453125,signal
2023-08-03,CRWD,long,154.72999572753906,157.5500030517578,90,253.8006591796875,signal
2023-08-09,SMCI,long,34.7400016784668,26.613000869750977,321,-2608.7672595977783,trail
2023-08-28,NVDA,long,47.126155853271484,46.79841613769531,275,-90.12842178344727,signal
2023-09-01,CRWD,long,163.02999877929688,161.22999572753906,89,-160.2002716064453,signal
2023-09-06,NFLX,long,44.86800003051758,44.57600021362305,461,-134.6119155883789,signal
2023-09-12,TSLA,long,273.5799865722656,267.4800109863281,46,-280.598876953125,signal
2023-09-18,CRWD,long,165.4499969482422,166.97000122070312,101,153.5204315185547,signal
2023-10-10,CRWD,long,181.82000732421875,183.85000610351562,93,188.78988647460938,signal
2023-10-13,SMCI,long,31.0310001373291,28.520000457763672,381,-956.6908779144287,trail
2023-10-16,SMCI,long,28.520000457763672,29.16900062561035,348,225.85205841064453,signal
2023-10-18,SMCI,long,29.854000091552734,28.503000259399414,320,-432.3199462890625,signal
2023-10-23,CRWD,long,178.75999450683594,179.0800018310547,88,28.16064453125,signal
2023-11-13,AMD,long,118.58999633789062,116.79000091552734,132,-237.59939575195312,signal
2023-11-15,SMCI,long,29.386999130249023,28.777999877929688,322,-196.09775924682617,signal
2023-11-16,CRWD,long,200.9600067138672,204.27000427246094,93,307.82977294921875,signal
2023-11-24,NVDA,long,49.90909957885742,47.74261474609375,440,-953.2533264160156,signal
2023-11-24,SMCI,long,28.666000366210938,28.566999435424805,344,-34.05632019042969,signal
2023-12-01,META,long,324.6026306152344,322.29083251953125,77,-178.00845336914062,signal
2023-12-01,CRWD,long,210.07000732421875,235.02999877929688,100,2495.9991455078125,signal
2023-12-01,SMCI,long,27.347000122070312,26.96299934387207,334,-128.2562599182129,signal
2023-12-04,NFLX,long,47.39699935913086,45.38999938964844,717,-1439.0189781188965,trail
2023-12-05,NFLX,long,45.38999938964844,45.51499938964844,678,84.75,signal
2023-12-15,TSLA,long,239.2899932861328,253.5,68,966.2804565429688,signal
2023-12-18,AMD,long,128.3699951171875,138.89999389648438,142,1495.2598266601562,signal
2023-12-18,CRWD,long,260.0799865722656,259.79998779296875,68,-19.0399169921875,signal
2023-12-20,SMCI,long,31.5939998626709,30.20800018310547,378,-523.9078788757324,signal
2023-12-26,SMCI,long,28.972000122070312,29.433000564575195,365,168.26516151428223,signal
